seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-06-01T16:54:20,127.10370899999978,SUCCESS,"PING,1,1780304060.854683","ACK,PING,1,1780304060.854683,RSSI=-53"
2,2026-06-01T16:54:22,112.40495799999994,SUCCESS,"PING,2,1780304061.982466","ACK,PING,2,1780304061.982466,RSSI=-53"
3,2026-06-01T16:54:23,124.32833300000024,SUCCESS,"PING,3,1780304063.1000252","ACK,PING,3,1780304063.1000252,RSSI=-52"
4,2026-06-01T16:54:24,135.15999999999994,SUCCESS,"PING,4,1780304064.2274601","ACK,PING,4,1780304064.2274601,RSSI=-53"
5,2026-06-01T16:54:28,,TIMEOUT,"PING,5,1780304065.365953",
6,2026-06-01T16:54:29,195.46550000000096,SUCCESS,"PING,6,1780304069.372834","ACK,PING,6,1780304069.372834,RSSI=-52"
7,2026-06-01T16:54:30,150.7091670000005,SUCCESS,"PING,7,1780304070.572046","ACK,PING,7,1780304070.572046,RSSI=-54"
8,2026-06-01T16:54:31,97.97554200000036,SUCCESS,"PING,8,1780304071.724258","ACK,PING,8,1780304071.724258,RSSI=-54"
9,2026-06-01T16:54:32,124.40241700000065,SUCCESS,"PING,9,1780304072.824909","ACK,PING,9,1780304072.824909,RSSI=-55"
10,2026-06-01T16:54:34,145.09412500000172,SUCCESS,"PING,10,1780304073.950787","ACK,PING,10,1780304073.950787,RSSI=-54"
11,2026-06-01T16:54:35,102.43933299999952,SUCCESS,"PING,11,1780304075.097879","ACK,PING,11,1780304075.097879,RSSI=-54"
12,2026-06-01T16:54:36,132.57745900000018,SUCCESS,"PING,12,1780304076.2055428","ACK,PING,12,1780304076.2055428,RSSI=-58"
13,2026-06-01T16:54:37,113.35345799999885,SUCCESS,"PING,13,1780304077.340828","ACK,PING,13,1780304077.340828,RSSI=-54"
14,2026-06-01T16:54:38,165.89870800000028,SUCCESS,"PING,14,1780304078.455332","ACK,PING,14,1780304078.455332,RSSI=-55"
15,2026-06-01T16:54:39,90.70704099999816,SUCCESS,"PING,15,1780304079.622037","ACK,PING,15,1780304079.622037,RSSI=-54"
16,2026-06-01T16:54:40,116.22883300000098,SUCCESS,"PING,16,1780304080.717497","ACK,PING,16,1780304080.717497,RSSI=-54"
17,2026-06-01T16:54:41,121.80220800000185,SUCCESS,"PING,17,1780304081.8363929","ACK,PING,17,1780304081.8363929,RSSI=-55"
18,2026-06-01T16:54:43,175.4923340000012,SUCCESS,"PING,18,1780304082.962711","ACK,PING,18,1780304082.962711,RSSI=-54"
19,2026-06-01T16:54:44,353.0693750000005,SUCCESS,"PING,19,1780304084.143716","ACK,PING,19,1780304084.143716,RSSI=-53"
20,2026-06-01T16:54:45,47.54379099999895,SUCCESS,"PING,20,1780304085.501376","ACK,PING,20,1780304085.501376,RSSI=-53"
21,2026-06-01T16:54:46,117.88658300000066,SUCCESS,"PING,21,1780304086.5510569","ACK,PING,21,1780304086.5510569,RSSI=-54"
