seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-28T14:39:56,,TIMEOUT,"PING,1,1779950393.307536",
2,2026-05-28T14:39:57,205.47233299999945,SUCCESS,"PING,2,1779950397.314713","ACK,PING,2,1779950397.314713,RSSI=-63"
3,2026-05-28T14:39:58,246.66612499999906,SUCCESS,"PING,3,1779950398.525557","ACK,PING,3,1779950398.525557,RSSI=-64"
4,2026-05-28T14:39:59,100.07387499999965,SUCCESS,"PING,4,1779950399.777471","ACK,PING,4,1779950399.777471,RSSI=-68"
5,2026-05-28T14:40:01,125.43616700000015,SUCCESS,"PING,5,1779950400.878355","ACK,PING,5,1779950400.878355,RSSI=-78"
6,2026-05-28T14:40:02,315.6192089999994,SUCCESS,"PING,6,1779950402.0053911","ACK,PING,6,1779950402.0053911,RSSI=-87"
7,2026-05-28T14:40:03,132.69066600000025,SUCCESS,"PING,7,1779950403.326498","ACK,PING,7,1779950403.326498,RSSI=-73"
8,2026-05-28T14:40:04,520.7899160000001,SUCCESS,"PING,8,1779950404.462233","ACK,PING,8,1779950404.462233,RSSI=-77"
9,2026-05-28T14:40:06,26.96012499999867,SUCCESS,"PING,9,1779950405.988437","ACK,PING,9,1779950405.988437,RSSI=-84"
10,2026-05-28T14:40:07,187.08333300000035,SUCCESS,"PING,10,1779950407.0196102","ACK,PING,10,1779950407.0196102,RSSI=-77"
11,2026-05-28T14:40:08,60.05233400000165,SUCCESS,"PING,11,1779950408.212128","ACK,PING,11,1779950408.212128,RSSI=-72"
12,2026-05-28T14:40:09,121.3678329999972,SUCCESS,"PING,12,1779950409.2773619","ACK,PING,12,1779950409.2773619,RSSI=-67"
13,2026-05-28T14:40:10,122.12949999999978,SUCCESS,"PING,13,1779950410.402838","ACK,PING,13,1779950410.402838,RSSI=-81"
14,2026-05-28T14:40:11,121.12033300000036,SUCCESS,"PING,14,1779950411.530108","ACK,PING,14,1779950411.530108,RSSI=-81"
15,2026-05-28T14:40:12,315.7350839999999,SUCCESS,"PING,15,1779950412.656477","ACK,PING,15,1779950412.656477,RSSI=-82"
16,2026-05-28T14:40:14,143.14070800000067,SUCCESS,"PING,16,1779950413.977629","ACK,PING,16,1779950413.977629,RSSI=-79"
17,2026-05-28T14:40:15,506.4438750000022,SUCCESS,"PING,17,1779950415.1259189","ACK,PING,17,1779950415.1259189,RSSI=-91"
18,2026-05-28T14:40:16,341.8118339999978,SUCCESS,"PING,18,1779950416.6378188","ACK,PING,18,1779950416.6378188,RSSI=-91"
19,2026-05-28T14:40:18,635.4847919999997,SUCCESS,"PING,19,1779950417.980961","ACK,PING,19,1779950417.980961,RSSI=-90"
20,2026-05-28T14:40:22,,TIMEOUT,"PING,20,1779950419.621912",
21,2026-05-28T14:40:26,,TIMEOUT,"PING,21,1779950423.628651",
22,2026-05-28T14:40:30,,TIMEOUT,"PING,22,1779950427.634893",
23,2026-05-28T14:40:34,,TIMEOUT,"PING,23,1779950431.640697",
24,2026-05-28T14:40:38,,TIMEOUT,"PING,24,1779950435.6456718",
25,2026-05-28T14:40:42,,TIMEOUT,"PING,25,1779950439.652716",
26,2026-05-28T14:40:46,,TIMEOUT,"PING,26,1779950443.659646",
27,2026-05-28T14:40:50,,TIMEOUT,"PING,27,1779950447.6639948",
28,2026-05-28T14:40:54,,TIMEOUT,"PING,28,1779950451.668588",
29,2026-05-28T14:40:58,,TIMEOUT,"PING,29,1779950455.673228",
30,2026-05-28T14:41:02,,TIMEOUT,"PING,30,1779950459.678967",
31,2026-05-28T14:41:06,,TIMEOUT,"PING,31,1779950463.6841989",
32,2026-05-28T14:41:10,,TIMEOUT,"PING,32,1779950467.6855528",
33,2026-05-28T14:41:14,,TIMEOUT,"PING,33,1779950471.69222",
34,2026-05-28T14:41:18,,TIMEOUT,"PING,34,1779950475.69929",
35,2026-05-28T14:41:22,,TIMEOUT,"PING,35,1779950479.7028859",
36,2026-05-28T14:41:26,,TIMEOUT,"PING,36,1779950483.7076511",
37,2026-05-28T14:41:30,,TIMEOUT,"PING,37,1779950487.714172",
38,2026-05-28T14:41:34,,TIMEOUT,"PING,38,1779950491.718285",
39,2026-05-28T14:41:38,,TIMEOUT,"PING,39,1779950495.725234",
40,2026-05-28T14:41:42,,TIMEOUT,"PING,40,1779950499.730495",
