seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-28T14:54:57,,TIMEOUT,"PING,1,1779951294.4249759",
2,2026-05-28T14:55:01,,TIMEOUT,"PING,2,1779951298.431472",
3,2026-05-28T14:55:02,117.13195800000165,SUCCESS,"PING,3,1779951302.435997","ACK,PING,3,1779951302.435997,RSSI=-71"
4,2026-05-28T14:55:03,112.97054199999934,SUCCESS,"PING,4,1779951303.5561311","ACK,PING,4,1779951303.5561311,RSSI=-69"
5,2026-05-28T14:55:07,,TIMEOUT,"PING,5,1779951304.672858",
6,2026-05-28T14:55:11,,TIMEOUT,"PING,6,1779951308.6792371",
7,2026-05-28T14:55:15,,TIMEOUT,"PING,7,1779951312.686581",
8,2026-05-28T14:55:17,408.73024999999785,SUCCESS,"PING,8,1779951316.693697","ACK,PING,8,1779951316.693697,RSSI=-89"
9,2026-05-28T14:55:21,,TIMEOUT,"PING,9,1779951318.1078799",
10,2026-05-28T14:55:25,,TIMEOUT,"PING,10,1779951322.111239",
11,2026-05-28T14:55:29,,TIMEOUT,"PING,11,1779951326.11862",
12,2026-05-28T14:55:33,,TIMEOUT,"PING,12,1779951330.1258292",
13,2026-05-28T14:55:37,,TIMEOUT,"PING,13,1779951334.1311512",
14,2026-05-28T14:55:41,,TIMEOUT,"PING,14,1779951338.136252",
15,2026-05-28T14:55:45,,TIMEOUT,"PING,15,1779951342.1433642",
16,2026-05-28T14:55:49,,TIMEOUT,"PING,16,1779951346.1503732",
17,2026-05-28T14:55:53,,TIMEOUT,"PING,17,1779951350.1573539",
18,2026-05-28T14:55:57,,TIMEOUT,"PING,18,1779951354.161025",
19,2026-05-28T14:56:01,,TIMEOUT,"PING,19,1779951358.168119",
20,2026-05-28T14:56:05,,TIMEOUT,"PING,20,1779951362.174902",
