seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-28T14:47:36,,TIMEOUT,"PING,1,1779950853.9168088",
2,2026-05-28T14:47:40,,TIMEOUT,"PING,2,1779950857.9234471",
3,2026-05-28T14:47:44,,TIMEOUT,"PING,3,1779950861.927022",
4,2026-05-28T14:47:48,,TIMEOUT,"PING,4,1779950865.93398",
5,2026-05-28T14:47:52,,TIMEOUT,"PING,5,1779950869.940992",
6,2026-05-28T14:47:56,,TIMEOUT,"PING,6,1779950873.948204",
7,2026-05-28T14:48:00,,TIMEOUT,"PING,7,1779950877.953559",
8,2026-05-28T14:48:04,,TIMEOUT,"PING,8,1779950881.960408",
9,2026-05-28T14:48:08,,TIMEOUT,"PING,9,1779950885.963805",
10,2026-05-28T14:48:12,,TIMEOUT,"PING,10,1779950889.965478",
11,2026-05-28T14:48:16,,TIMEOUT,"PING,11,1779950893.970866",
12,2026-05-28T14:48:20,,TIMEOUT,"PING,12,1779950897.974189",
13,2026-05-28T14:48:24,,TIMEOUT,"PING,13,1779950901.976776",
14,2026-05-28T14:48:28,,TIMEOUT,"PING,14,1779950905.9801059",
15,2026-05-28T14:48:32,,TIMEOUT,"PING,15,1779950909.985138",
16,2026-05-28T14:48:36,,TIMEOUT,"PING,16,1779950913.9919958",
17,2026-05-28T14:48:40,,TIMEOUT,"PING,17,1779950917.994865",
18,2026-05-28T14:48:45,,TIMEOUT,"PING,18,1779950921.998761",
19,2026-05-28T14:48:49,,TIMEOUT,"PING,19,1779950926.003371",
20,2026-05-28T14:48:53,,TIMEOUT,"PING,20,1779950930.010232",
21,2026-05-28T14:48:57,,TIMEOUT,"PING,21,1779950934.0160608",
22,2026-05-28T14:49:01,,TIMEOUT,"PING,22,1779950938.019917",
23,2026-05-28T14:49:05,,TIMEOUT,"PING,23,1779950942.023062",
24,2026-05-28T14:49:09,,TIMEOUT,"PING,24,1779950946.030072",
25,2026-05-28T14:49:13,,TIMEOUT,"PING,25,1779950950.035421",
