seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-28T16:22:01,672.8938749999998,SUCCESS,"PING,1,1779956520.992369","ACK,PING,1,1779956520.992369,RSSI=-79"
2,2026-05-28T16:22:03,363.5698329999997,SUCCESS,"PING,2,1779956522.668351","ACK,PING,2,1779956522.668351,RSSI=-80"
3,2026-05-28T16:22:04,526.026458000004,SUCCESS,"PING,3,1779956524.036169","ACK,PING,3,1779956524.036169,RSSI=-79"
4,2026-05-28T16:22:06,434.7562500000066,SUCCESS,"PING,4,1779956525.567647","ACK,PING,4,1779956525.567647,RSSI=-79"
5,2026-05-28T16:22:07,876.0716249999945,SUCCESS,"PING,5,1779956527.007275","ACK,PING,5,1779956527.007275,RSSI=-73"
6,2026-05-28T16:22:09,789.6248340000085,SUCCESS,"PING,6,1779956528.887866","ACK,PING,6,1779956528.887866,RSSI=-79"
7,2026-05-28T16:22:13,,TIMEOUT,"PING,7,1779956530.6828249",
8,2026-05-28T16:22:17,,TIMEOUT,"PING,8,1779956534.6853492",
9,2026-05-28T16:22:21,,TIMEOUT,"PING,9,1779956538.688384",
10,2026-05-28T16:22:25,,TIMEOUT,"PING,10,1779956542.6924238",
11,2026-05-28T16:22:29,,TIMEOUT,"PING,11,1779956546.6982641",
12,2026-05-28T16:22:33,,TIMEOUT,"PING,12,1779956550.70527",
13,2026-05-28T16:22:37,,TIMEOUT,"PING,13,1779956554.71215",
14,2026-05-28T16:22:41,,TIMEOUT,"PING,14,1779956558.7191591",
15,2026-05-28T16:22:42,0.6087090000050921,SUCCESS,"PING,15,1779956562.725379","ACK,PING,13,1779956554.71215,RSSI=-85"
16,2026-05-28T16:22:43,0.8185830000115857,SUCCESS,"PING,16,1779956563.727505","ACK,PING,15,1779956562.725379,RSSI=-81"
17,2026-05-28T16:22:46,2050.5952080000043,SUCCESS,"PING,17,1779956564.729197","ACK,PING,17,1779956564.729197,RSSI=-81"
18,2026-05-28T16:22:48,301.6677500000071,SUCCESS,"PING,18,1779956567.782645","ACK,PING,18,1779956567.782645,RSSI=-86"
19,2026-05-28T16:22:49,426.987749999995,SUCCESS,"PING,19,1779956569.0856068","ACK,PING,19,1779956569.0856068,RSSI=-85"
20,2026-05-28T16:22:50,150.05720799999267,SUCCESS,"PING,20,1779956570.51689","ACK,PING,20,1779956570.51689,RSSI=-76"
21,2026-05-28T16:22:52,531.4690840000083,SUCCESS,"PING,21,1779956571.669884","ACK,PING,21,1779956571.669884,RSSI=-77"
22,2026-05-28T16:22:53,525.4039170000055,SUCCESS,"PING,22,1779956573.2068439","ACK,PING,22,1779956573.2068439,RSSI=-79"
23,2026-05-28T16:22:57,,TIMEOUT,"PING,23,1779956574.7377238",
24,2026-05-28T16:22:59,419.6359160000043,SUCCESS,"PING,24,1779956578.741654","ACK,PING,24,1779956578.741654,RSSI=-76"
25,2026-05-28T16:23:00,88.11049999999909,SUCCESS,"PING,25,1779956580.166579","ACK,PING,25,1779956580.166579,RSSI=-70"
26,2026-05-28T16:23:04,,TIMEOUT,"PING,26,1779956581.258129",
27,2026-05-28T16:23:08,,TIMEOUT,"PING,27,1779956585.2650821",
28,2026-05-28T16:23:09,402.7227080000273,SUCCESS,"PING,28,1779956589.269221","ACK,PING,28,1779956589.269221,RSSI=-82"
29,2026-05-28T16:23:13,,TIMEOUT,"PING,29,1779956590.677145",
