seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-28T16:00:33,229.33024999999984,SUCCESS,"PING,1,1779955232.916939","ACK,PING,1,1779955232.916939,RSSI=-73"
2,2026-05-28T16:00:34,142.99529100000007,SUCCESS,"PING,2,1779955234.14996","ACK,PING,2,1779955234.14996,RSSI=-72"
3,2026-05-28T16:00:35,93.56733299999931,SUCCESS,"PING,3,1779955235.298215","ACK,PING,3,1779955235.298215,RSSI=-69"
4,2026-05-28T16:00:36,425.4339580000002,SUCCESS,"PING,4,1779955236.397001","ACK,PING,4,1779955236.397001,RSSI=-69"
5,2026-05-28T16:00:38,427.68899999999996,SUCCESS,"PING,5,1779955237.827915","ACK,PING,5,1779955237.827915,RSSI=-72"
6,2026-05-28T16:00:39,23.232166999999748,SUCCESS,"PING,6,1779955239.257975","ACK,PING,6,1779955239.257975,RSSI=-70"
7,2026-05-28T16:00:43,,TIMEOUT,"PING,7,1779955240.281891",
8,2026-05-28T16:00:44,112.86783300000103,SUCCESS,"PING,8,1779955244.289662","ACK,PING,8,1779955244.289662,RSSI=-64"
9,2026-05-28T16:00:45,133.1420829999992,SUCCESS,"PING,9,1779955245.407854","ACK,PING,9,1779955245.407854,RSSI=-71"
10,2026-05-28T16:00:46,450.4362499999992,SUCCESS,"PING,10,1779955246.545426","ACK,PING,10,1779955246.545426,RSSI=-77"
11,2026-05-28T16:00:48,95.33849999999688,SUCCESS,"PING,11,1779955248.00135","ACK,PING,11,1779955248.00135,RSSI=-74"
12,2026-05-28T16:00:49,315.31191699999897,SUCCESS,"PING,12,1779955249.100087","ACK,PING,12,1779955249.100087,RSSI=-74"
13,2026-05-28T16:00:50,34.74933299999705,SUCCESS,"PING,13,1779955250.418957","ACK,PING,13,1779955250.418957,RSSI=-73"
14,2026-05-28T16:00:51,112.71870799999917,SUCCESS,"PING,14,1779955251.4555771","ACK,PING,14,1779955251.4555771,RSSI=-70"
15,2026-05-28T16:00:52,25.17316700000194,SUCCESS,"PING,15,1779955252.5686588","ACK,PING,15,1779955252.5686588,RSSI=-85"
16,2026-05-28T16:00:53,127.637,SUCCESS,"PING,16,1779955253.59904","ACK,PING,16,1779955253.59904,RSSI=-67"
17,2026-05-28T16:00:54,134.19033399999947,SUCCESS,"PING,17,1779955254.731988","ACK,PING,17,1779955254.731988,RSSI=-78"
18,2026-05-28T16:00:56,206.0682920000012,SUCCESS,"PING,18,1779955255.867871","ACK,PING,18,1779955255.867871,RSSI=-77"
19,2026-05-28T16:00:57,18.767874999998213,SUCCESS,"PING,19,1779955257.079185","ACK,PING,19,1779955257.079185,RSSI=-78"
20,2026-05-28T16:00:58,22.49966699999817,SUCCESS,"PING,20,1779955258.099232","ACK,PING,20,1779955258.099232,RSSI=-78"
21,2026-05-28T16:00:59,123.90895800000123,SUCCESS,"PING,21,1779955259.126973","ACK,PING,21,1779955259.126973,RSSI=-85"
22,2026-05-28T16:01:00,32.393249999998375,SUCCESS,"PING,22,1779955260.255359","ACK,PING,22,1779955260.255359,RSSI=-76"
23,2026-05-28T16:01:01,422.1056250000004,SUCCESS,"PING,23,1779955261.2929559","ACK,PING,23,1779955261.2929559,RSSI=-78"
24,2026-05-28T16:01:03,317.20774999999435,SUCCESS,"PING,24,1779955262.720319","ACK,PING,24,1779955262.720319,RSSI=-80"
25,2026-05-28T16:01:04,56.4802499999999,SUCCESS,"PING,25,1779955264.039278","ACK,PING,25,1779955264.039278,RSSI=-80"
26,2026-05-28T16:01:05,208.87387500000187,SUCCESS,"PING,26,1779955265.101113","ACK,PING,26,1779955265.101113,RSSI=-77"
27,2026-05-28T16:01:06,104.59716700000143,SUCCESS,"PING,27,1779955266.3133929","ACK,PING,27,1779955266.3133929,RSSI=-80"
28,2026-05-28T16:01:07,527.8335420000033,SUCCESS,"PING,28,1779955267.423223","ACK,PING,28,1779955267.423223,RSSI=-79"
29,2026-05-28T16:01:08,21.940042000004212,SUCCESS,"PING,29,1779955268.9552672","ACK,PING,29,1779955268.9552672,RSSI=-78"
30,2026-05-28T16:01:10,33.80770799999766,SUCCESS,"PING,30,1779955269.978693","ACK,PING,30,1779955269.978693,RSSI=-78"
31,2026-05-28T16:01:11,109.02704099999738,SUCCESS,"PING,31,1779955271.017785","ACK,PING,31,1779955271.017785,RSSI=-80"
32,2026-05-28T16:01:12,64.3409580000025,SUCCESS,"PING,32,1779955272.132254","ACK,PING,32,1779955272.132254,RSSI=-80"
33,2026-05-28T16:01:13,281.1296659999982,SUCCESS,"PING,33,1779955273.201879","ACK,PING,33,1779955273.201879,RSSI=-78"
34,2026-05-28T16:01:14,119.8302499999997,SUCCESS,"PING,34,1779955274.488554","ACK,PING,34,1779955274.488554,RSSI=-79"
35,2026-05-28T16:01:15,121.34170799999566,SUCCESS,"PING,35,1779955275.6138601","ACK,PING,35,1779955275.6138601,RSSI=-80"
36,2026-05-28T16:01:16,128.5329159999975,SUCCESS,"PING,36,1779955276.740463","ACK,PING,36,1779955276.740463,RSSI=-79"
37,2026-05-28T16:01:17,114.03229199999743,SUCCESS,"PING,37,1779955277.874223","ACK,PING,37,1779955277.874223,RSSI=-80"
38,2026-05-28T16:01:19,122.39479200000147,SUCCESS,"PING,38,1779955278.9938161","ACK,PING,38,1779955278.9938161,RSSI=-81"
39,2026-05-28T16:01:20,324.15195899999816,SUCCESS,"PING,39,1779955280.1186318","ACK,PING,39,1779955280.1186318,RSSI=-79"
40,2026-05-28T16:01:21,534.0898749999994,SUCCESS,"PING,40,1779955281.4483619","ACK,PING,40,1779955281.4483619,RSSI=-80"
41,2026-05-28T16:01:23,121.88375000000207,SUCCESS,"PING,41,1779955282.9865432","ACK,PING,41,1779955282.9865432,RSSI=-79"
42,2026-05-28T16:01:24,120.72204200000414,SUCCESS,"PING,42,1779955284.114066","ACK,PING,42,1779955284.114066,RSSI=-80"
43,2026-05-28T16:01:25,22.01720799999407,SUCCESS,"PING,43,1779955285.235244","ACK,PING,43,1779955285.235244,RSSI=-81"
44,2026-05-28T16:01:26,137.66025000000326,SUCCESS,"PING,44,1779955286.258649","ACK,PING,44,1779955286.258649,RSSI=-82"
45,2026-05-28T16:01:30,,TIMEOUT,"PING,45,1779955287.4015691",
46,2026-05-28T16:01:31,198.07966599999816,SUCCESS,"PING,46,1779955291.4081779","ACK,PING,46,1779955291.4081779,RSSI=-78"
47,2026-05-28T16:01:32,324.46575000000166,SUCCESS,"PING,47,1779955292.611607","ACK,PING,47,1779955292.611607,RSSI=-75"
48,2026-05-28T16:01:34,324.9814170000036,SUCCESS,"PING,48,1779955293.9415412","ACK,PING,48,1779955293.9415412,RSSI=-72"
49,2026-05-28T16:01:35,126.01424999999722,SUCCESS,"PING,49,1779955295.272031","ACK,PING,49,1779955295.272031,RSSI=-77"
50,2026-05-28T16:01:36,120.94979199999045,SUCCESS,"PING,50,1779955296.4034271","ACK,PING,50,1779955296.4034271,RSSI=-77"
