seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-28T16:12:38,153.55587500000212,SUCCESS,"PING,1,1779955958.311352","ACK,PING,1,1779955958.311352,RSSI=-76"
2,2026-05-28T16:12:39,96.23941599999952,SUCCESS,"PING,2,1779955959.468748","ACK,PING,2,1779955959.468748,RSSI=-77"
3,2026-05-28T16:12:40,160.19899999999865,SUCCESS,"PING,3,1779955960.570098","ACK,PING,3,1779955960.570098,RSSI=-70"
4,2026-05-28T16:12:41,82.52295900000206,SUCCESS,"PING,4,1779955961.733336","ACK,PING,4,1779955961.733336,RSSI=-68"
5,2026-05-28T16:12:42,120.73166700000115,SUCCESS,"PING,5,1779955962.820666","ACK,PING,5,1779955962.820666,RSSI=-73"
6,2026-05-28T16:12:44,198.23079200000038,SUCCESS,"PING,6,1779955963.94175","ACK,PING,6,1779955963.94175,RSSI=-71"
7,2026-05-28T16:12:45,260.9781670000011,SUCCESS,"PING,7,1779955965.145113","ACK,PING,7,1779955965.145113,RSSI=-72"
8,2026-05-28T16:12:46,219.60833300000004,SUCCESS,"PING,8,1779955966.411333","ACK,PING,8,1779955966.411333,RSSI=-69"
9,2026-05-28T16:12:47,136.4684589999996,SUCCESS,"PING,9,1779955967.636132","ACK,PING,9,1779955967.636132,RSSI=-63"
10,2026-05-28T16:12:48,176.38862500000485,SUCCESS,"PING,10,1779955968.77706","ACK,PING,10,1779955968.77706,RSSI=-67"
11,2026-05-28T16:12:50,50.86079200000171,SUCCESS,"PING,11,1779955969.9586701","ACK,PING,11,1779955969.9586701,RSSI=-74"
12,2026-05-28T16:12:51,326.10745799999563,SUCCESS,"PING,12,1779955971.0146828","ACK,PING,12,1779955971.0146828,RSSI=-82"
13,2026-05-28T16:12:52,178.1234999999981,SUCCESS,"PING,13,1779955972.343916","ACK,PING,13,1779955972.343916,RSSI=-78"
14,2026-05-28T16:12:53,109.37299999999794,SUCCESS,"PING,14,1779955973.5272892","ACK,PING,14,1779955973.5272892,RSSI=-80"
15,2026-05-28T16:12:54,277.05845799999906,SUCCESS,"PING,15,1779955974.637964","ACK,PING,15,1779955974.637964,RSSI=-82"
16,2026-05-28T16:12:56,140.25249999999545,SUCCESS,"PING,16,1779955975.917106","ACK,PING,16,1779955975.917106,RSSI=-73"
17,2026-05-28T16:12:57,119.53141600000095,SUCCESS,"PING,17,1779955977.059514","ACK,PING,17,1779955977.059514,RSSI=-78"
18,2026-05-28T16:12:59,937.5465419999998,SUCCESS,"PING,18,1779955978.1798851","ACK,PING,18,1779955978.1798851,RSSI=-84"
19,2026-05-28T16:13:00,576.0665839999958,SUCCESS,"PING,19,1779955980.122839","ACK,PING,19,1779955980.122839,RSSI=-84"
20,2026-05-28T16:13:01,181.8267089999992,SUCCESS,"PING,20,1779955981.704114","ACK,PING,20,1779955981.704114,RSSI=-83"
21,2026-05-28T16:13:05,,TIMEOUT,"PING,21,1779955982.88735",
22,2026-05-28T16:13:07,718.0529169999943,SUCCESS,"PING,22,1779955986.8944378","ACK,PING,22,1779955986.8944378,RSSI=-82"
23,2026-05-28T16:13:08,105.87999999999909,SUCCESS,"PING,23,1779955988.617721","ACK,PING,23,1779955988.617721,RSSI=-82"
24,2026-05-28T16:13:09,176.85625000000016,SUCCESS,"PING,24,1779955989.7289941","ACK,PING,24,1779955989.7289941,RSSI=-80"
25,2026-05-28T16:13:13,,TIMEOUT,"PING,25,1779955990.909172",
26,2026-05-28T16:13:15,411.1735840000037,SUCCESS,"PING,26,1779955994.916158","ACK,PING,26,1779955994.916158,RSSI=-85"
27,2026-05-28T16:13:16,119.13287499999825,SUCCESS,"PING,27,1779955996.332563","ACK,PING,27,1779955996.332563,RSSI=-86"
28,2026-05-28T16:13:20,,TIMEOUT,"PING,28,1779955997.4546912",
29,2026-05-28T16:13:21,204.8647499999987,SUCCESS,"PING,29,1779956001.4581811","ACK,PING,29,1779956001.4581811,RSSI=-82"
30,2026-05-28T16:13:22,145.80837500000143,SUCCESS,"PING,30,1779956002.66835","ACK,PING,30,1779956002.66835,RSSI=-79"
31,2026-05-28T16:13:23,27.585291000008283,SUCCESS,"PING,31,1779956003.819656","ACK,PING,31,1779956003.819656,RSSI=-79"
32,2026-05-28T16:13:24,76.79862499999501,SUCCESS,"PING,32,1779956004.852447","ACK,PING,32,1779956004.852447,RSSI=-83"
33,2026-05-28T16:13:28,,TIMEOUT,"PING,33,1779956005.934382",
34,2026-05-28T16:13:32,,TIMEOUT,"PING,34,1779956009.941443",
35,2026-05-28T16:13:36,,TIMEOUT,"PING,35,1779956013.9485319",
36,2026-05-28T16:13:38,81.85749999999814,SUCCESS,"PING,36,1779956017.954317","ACK,PING,36,1779956017.954317,RSSI=-82"
37,2026-05-28T16:13:39,320.56708300000025,SUCCESS,"PING,37,1779956019.039393","ACK,PING,37,1779956019.039393,RSSI=-81"
