seq,timestamp,rtt_ms,status,send_msg,ack_msg
1,2026-05-27T22:12:40,57.555040999999996,SUCCESS,"PING,1,1779891160.738026","ACK,PING,1,1779891160.738026,RSSI=-31"
2,2026-05-27T22:12:41,120.09674999999986,SUCCESS,"PING,2,1779891161.800041","ACK,PING,2,1779891161.800041,RSSI=-38"
3,2026-05-27T22:12:42,23.117916999999988,SUCCESS,"PING,3,1779891162.920956","ACK,PING,3,1779891162.920956,RSSI=-31"
4,2026-05-27T22:12:44,121.93874999999998,SUCCESS,"PING,4,1779891163.9492","ACK,PING,4,1779891163.9492,RSSI=-31"
5,2026-05-27T22:12:45,58.92224999999929,SUCCESS,"PING,5,1779891165.07179","ACK,PING,5,1779891165.07179,RSSI=-32"
6,2026-05-27T22:12:46,95.91004199999986,SUCCESS,"PING,6,1779891166.132138","ACK,PING,6,1779891166.132138,RSSI=-34"
7,2026-05-27T22:12:47,114.7523330000002,SUCCESS,"PING,7,1779891167.233309","ACK,PING,7,1779891167.233309,RSSI=-31"
8,2026-05-27T22:12:48,121.97216700000001,SUCCESS,"PING,8,1779891168.353276","ACK,PING,8,1779891168.353276,RSSI=-34"
9,2026-05-27T22:12:49,318.63791700000024,SUCCESS,"PING,9,1779891169.4767702","ACK,PING,9,1779891169.4767702,RSSI=-31"
10,2026-05-27T22:12:50,29.640499999999292,SUCCESS,"PING,10,1779891170.799999","ACK,PING,10,1779891170.799999,RSSI=-31"
11,2026-05-27T22:12:51,19.445958000000374,SUCCESS,"PING,11,1779891171.833869","ACK,PING,11,1779891171.833869,RSSI=-31"
12,2026-05-27T22:12:52,121.67016700000133,SUCCESS,"PING,12,1779891172.8583171","ACK,PING,12,1779891172.8583171,RSSI=-31"
13,2026-05-27T22:12:54,122.2146249999998,SUCCESS,"PING,13,1779891173.9837859","ACK,PING,13,1779891173.9837859,RSSI=-31"
14,2026-05-27T22:12:55,24.010875000000098,SUCCESS,"PING,14,1779891175.106302","ACK,PING,14,1779891175.106302,RSSI=-33"
15,2026-05-27T22:12:56,222.79483300000004,SUCCESS,"PING,15,1779891176.135236","ACK,PING,15,1779891176.135236,RSSI=-31"
16,2026-05-27T22:12:57,125.14345800000015,SUCCESS,"PING,16,1779891177.361789","ACK,PING,16,1779891177.361789,RSSI=-31"
17,2026-05-27T22:12:58,119.45829200000091,SUCCESS,"PING,17,1779891178.4921548","ACK,PING,17,1779891178.4921548,RSSI=-31"
18,2026-05-27T22:12:59,28.52254200000104,SUCCESS,"PING,18,1779891179.612709","ACK,PING,18,1779891179.612709,RSSI=-31"
19,2026-05-27T22:13:00,138.74533299999925,SUCCESS,"PING,19,1779891180.642698","ACK,PING,19,1779891180.642698,RSSI=-32"
20,2026-05-27T22:13:01,203.56179199999858,SUCCESS,"PING,20,1779891181.786653","ACK,PING,20,1779891181.786653,RSSI=-32"
21,2026-05-27T22:13:03,122.07487500000269,SUCCESS,"PING,21,1779891182.995404","ACK,PING,21,1779891182.995404,RSSI=-31"
22,2026-05-27T22:13:04,153.49666699999887,SUCCESS,"PING,22,1779891184.1226912","ACK,PING,22,1779891184.1226912,RSSI=-31"
23,2026-05-27T22:13:05,88.3735829999992,SUCCESS,"PING,23,1779891185.2815418","ACK,PING,23,1779891185.2815418,RSSI=-31"
24,2026-05-27T22:13:06,24.743125000000532,SUCCESS,"PING,24,1779891186.371372","ACK,PING,24,1779891186.371372,RSSI=-31"
25,2026-05-27T22:13:07,118.86454100000066,SUCCESS,"PING,25,1779891187.4013681","ACK,PING,25,1779891187.4013681,RSSI=-31"
26,2026-05-27T22:13:08,121.52433299999998,SUCCESS,"PING,26,1779891188.5254421","ACK,PING,26,1779891188.5254421,RSSI=-33"
27,2026-05-27T22:13:09,120.70549999999969,SUCCESS,"PING,27,1779891189.6521769","ACK,PING,27,1779891189.6521769,RSSI=-31"
28,2026-05-27T22:13:10,125.5047499999975,SUCCESS,"PING,28,1779891190.773858","ACK,PING,28,1779891190.773858,RSSI=-32"
29,2026-05-27T22:13:12,121.93520800000002,SUCCESS,"PING,29,1779891191.904557","ACK,PING,29,1779891191.904557,RSSI=-31"
30,2026-05-27T22:13:13,120.66850000000073,SUCCESS,"PING,30,1779891193.031677","ACK,PING,30,1779891193.031677,RSSI=-31"
31,2026-05-27T22:13:14,120.19699999999744,SUCCESS,"PING,31,1779891194.157608","ACK,PING,31,1779891194.157608,RSSI=-31"
32,2026-05-27T22:13:15,122.6839579999961,SUCCESS,"PING,32,1779891195.283085","ACK,PING,32,1779891195.283085,RSSI=-32"
33,2026-05-27T22:13:16,122.05800000000266,SUCCESS,"PING,33,1779891196.4109702","ACK,PING,33,1779891196.4109702,RSSI=-33"
34,2026-05-27T22:13:17,120.13283299999955,SUCCESS,"PING,34,1779891197.5382662","ACK,PING,34,1779891197.5382662,RSSI=-31"
35,2026-05-27T22:13:18,20.60962500000585,SUCCESS,"PING,35,1779891198.661376","ACK,PING,35,1779891198.661376,RSSI=-32"
36,2026-05-27T22:13:19,20.117999999996528,SUCCESS,"PING,36,1779891199.684103","ACK,PING,36,1779891199.684103,RSSI=-32"
37,2026-05-27T22:13:20,25.428125000004798,SUCCESS,"PING,37,1779891200.7045271","ACK,PING,37,1779891200.7045271,RSSI=-31"
38,2026-05-27T22:13:22,316.43966600000084,SUCCESS,"PING,38,1779891201.7349591","ACK,PING,38,1779891201.7349591,RSSI=-31"
39,2026-05-27T22:13:23,129.6739999999943,SUCCESS,"PING,39,1779891203.0568142","ACK,PING,39,1779891203.0568142,RSSI=-31"
40,2026-05-27T22:13:24,121.53970900000388,SUCCESS,"PING,40,1779891204.191543","ACK,PING,40,1779891204.191543,RSSI=-31"
41,2026-05-27T22:13:25,121.82120800000007,SUCCESS,"PING,41,1779891205.318306","ACK,PING,41,1779891205.318306,RSSI=-38"
42,2026-05-27T22:13:26,19.649166999997192,SUCCESS,"PING,42,1779891206.444216","ACK,PING,42,1779891206.444216,RSSI=-32"
43,2026-05-27T22:13:27,530.2701250000013,SUCCESS,"PING,43,1779891207.4692779","ACK,PING,43,1779891207.4692779,RSSI=-31"
44,2026-05-27T22:13:29,22.679541999998776,SUCCESS,"PING,44,1779891209.000569","ACK,PING,44,1779891209.000569,RSSI=-32"
45,2026-05-27T22:13:30,19.102750000001834,SUCCESS,"PING,45,1779891210.0284271","ACK,PING,45,1779891210.0284271,RSSI=-31"
46,2026-05-27T22:13:31,24.244583000005093,SUCCESS,"PING,46,1779891211.0483031","ACK,PING,46,1779891211.0483031,RSSI=-31"
47,2026-05-27T22:13:32,123.09637499999582,SUCCESS,"PING,47,1779891212.074839","ACK,PING,47,1779891212.074839,RSSI=-31"
48,2026-05-27T22:13:33,20.685417000002815,SUCCESS,"PING,48,1779891213.2011871","ACK,PING,48,1779891213.2011871,RSSI=-31"
49,2026-05-27T22:13:34,19.129291999995246,SUCCESS,"PING,49,1779891214.227062","ACK,PING,49,1779891214.227062,RSSI=-31"
50,2026-05-27T22:13:35,60.69462499999645,SUCCESS,"PING,50,1779891215.246549","ACK,PING,50,1779891215.246549,RSSI=-31"
51,2026-05-27T22:13:36,84.35912499999887,SUCCESS,"PING,51,1779891216.312453","ACK,PING,51,1779891216.312453,RSSI=-31"
52,2026-05-27T22:13:37,20.639791000000685,SUCCESS,"PING,52,1779891217.4010391","ACK,PING,52,1779891217.4010391,RSSI=-31"
53,2026-05-27T22:13:38,119.66050000000195,SUCCESS,"PING,53,1779891218.426986","ACK,PING,53,1779891218.426986,RSSI=-31"
54,2026-05-27T22:13:39,421.8798749999948,SUCCESS,"PING,54,1779891219.550945","ACK,PING,54,1779891219.550945,RSSI=-31"
55,2026-05-27T22:13:41,129.03291699999642,SUCCESS,"PING,55,1779891220.978285","ACK,PING,55,1779891220.978285,RSSI=-31"
56,2026-05-27T22:13:42,20.313541999996687,SUCCESS,"PING,56,1779891222.111382","ACK,PING,56,1779891222.111382,RSSI=-31"
57,2026-05-27T22:13:43,120.17175000000435,SUCCESS,"PING,57,1779891223.136895","ACK,PING,57,1779891223.136895,RSSI=-31"
58,2026-05-27T22:13:44,122.07204100000268,SUCCESS,"PING,58,1779891224.2609012","ACK,PING,58,1779891224.2609012,RSSI=-35"
59,2026-05-27T22:13:45,18.52679099999932,SUCCESS,"PING,59,1779891225.388181","ACK,PING,59,1779891225.388181,RSSI=-37"
60,2026-05-27T22:13:46,19.679416000002448,SUCCESS,"PING,60,1779891226.411422","ACK,PING,60,1779891226.411422,RSSI=-31"
61,2026-05-27T22:13:47,121.32979199999738,SUCCESS,"PING,61,1779891227.436262","ACK,PING,61,1779891227.436262,RSSI=-31"
62,2026-05-27T22:13:48,124.71362500001248,SUCCESS,"PING,62,1779891228.560742","ACK,PING,62,1779891228.560742,RSSI=-37"
63,2026-05-27T22:13:49,120.82558299999846,SUCCESS,"PING,63,1779891229.690627","ACK,PING,63,1779891229.690627,RSSI=-62"
64,2026-05-27T22:13:50,122.01970799999629,SUCCESS,"PING,64,1779891230.816392","ACK,PING,64,1779891230.816392,RSSI=-58"
