timestamp,type,raw_line
2026-05-28T16:27:20,CSI,"CSI_DATA,155,958612,-58,6,256,0 0 -20 -7 -20 -5 -18 -4 -16 -3 -13 -2 -10 -2 -6 -3 -3 -5 -1 -7 1 -10 2 -13 2 -15 1 -18 0 -20 -2 -21 -3 -22 -5 -22 -5 -21 -6 -19 -6 -17 -5 -15 -4 -12 -2 -9 0 -7 3 -4 5 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -3 8 -5 7 -6 6 -8 6 -10 5 -11 4 -12 4 -13 4 -13 4 -13 4 -13 5 -12 5 -11 4 -10 4 -9 3 -8 1 -8 -1 -8 -3 -8 -5 -10 -8 -12 -9 -13 -11 -16 -12 -18 -11 -19 -10"
2026-05-28T16:27:20,RAW,========== UDP DEBUG ==========
2026-05-28T16:27:20,RAW,Packet Size : 24
2026-05-28T16:27:20,RAW,Remote IP   : 172.20.10.5
2026-05-28T16:27:20,RAW,Remote Port : 57116
2026-05-28T16:27:20,RAW,"Last UDP    : PING,1,1779956840.243767"
2026-05-28T16:27:20,RAW,"ACK Message : ACK,PING,1,1779956840.243767,RSSI=-58"
2026-05-28T16:27:20,RAW,beginPacket : 1
2026-05-28T16:27:20,RAW,endPacket   : 1
2026-05-28T16:27:20,RAW,===============================
2026-05-28T16:27:20,CSI,"CSI_DATA,156,958629,-57,6,256,0 0 -19 13 -17 14 -16 12 -12 12 -10 9 -8 6 -7 4 -6 0 -6 -3 -7 -5 -8 -7 -9 -9 -11 -10 -13 -10 -14 -10 -15 -9 -16 -8 -16 -7 -15 -6 -14 -5 -12 -5 -10 -4 -8 -4 -6 -4 -3 -4 -1 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 5 5 3 6 2 7 1 8 0 9 -2 10 -2 11 -2 11 -3 12 -3 12 -3 12 -2 12 -2 11 -2 10 -3 8 -4 7 -6 5 -8 5 -10 4 -13 4 -15 4 -18 6 -20 7 -21 8 -21 11"
2026-05-28T16:27:20,CSI,"CSI_DATA,157,959143,-66,6,128,0 0 -22 -10 -21 -10 -18 -10 -15 -9 -13 -9 -11 -9 -9 -9 -7 -11 -6 -12 -6 -11 -5 -12 -6 -12 -5 -11 -4 -10 -4 -10 -3 -9 -2 -8 -1 -7 0 -7 1 -7 2 -7 4 -6 4 -6 6 -6 6 -7 6 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 0 -6 1 -9 1 -11 0 -13 1 -15 1 -18 2 -17 5 -18 5 -18 7 -16 8 -15 9 -13 9 -10 8 -9 6 -8 4 -7 3 -7 -1 -7 -4 -8 -8 -11 -10 -14 -13 -17 -14 -20 -14 -21 -14 -22 -13"
2026-05-28T16:27:21,RAW,========== CURRENT SUMMARY ==========
2026-05-28T16:27:21,RAW,WiFi Status   : Connected
2026-05-28T16:27:21,RAW,ESP32 IP      : 172.20.10.14
2026-05-28T16:27:21,RAW,RSSI          : -58 dBm
2026-05-28T16:27:21,RAW,UDP Count     : 67
2026-05-28T16:27:21,RAW,CSI Count     : 157
2026-05-28T16:27:21,RAW,"Last UDP      : PING,1,1779956840.243767"
2026-05-28T16:27:21,RAW,"Last ACK      : ACK,PING,1,1779956840.243767,RSSI=-58"
2026-05-28T16:27:21,RAW,Last UDP RSSI : -58 dBm
2026-05-28T16:27:21,RAW,====================================
2026-05-28T16:27:21,CSI,"CSI_DATA,158,959749,-67,6,256,0 0 20 -4 20 -3 18 -4 16 -4 13 -3 10 -4 6 -4 2 -4 -1 -5 -5 -6 -8 -7 -11 -7 -13 -9 -14 -11 -15 -12 -15 -13 -14 -14 -13 -15 -10 -15 -8 -13 -6 -12 -3 -10 -2 -6 -2 -4 -3 0 -5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 -2 1 -4 5 -6 7 -8 9 -11 9 -12 10 -14 9 -15 8 -14 7 -14 6 -12 5 -10 5 -8 4 -6 4 -3 4 -1 4 2 3 5 3 7 2 11 1 12 1 15 -1 17 -1 19 -2 20 -2"
2026-05-28T16:27:21,RAW,========== UDP DEBUG ==========
2026-05-28T16:27:21,RAW,Packet Size : 24
2026-05-28T16:27:21,RAW,Remote IP   : 172.20.10.5
2026-05-28T16:27:21,RAW,Remote Port : 57116
2026-05-28T16:27:21,RAW,"Last UDP    : PING,2,1779956841.333144"
2026-05-28T16:27:21,RAW,"ACK Message : ACK,PING,2,1779956841.333144,RSSI=-71"
2026-05-28T16:27:21,RAW,beginPacket : 1
2026-05-28T16:27:21,RAW,endPacket   : 1
2026-05-28T16:27:21,RAW,===============================
2026-05-28T16:27:22,RAW,========== CURRENT SUMMARY ==========
2026-05-28T16:27:22,RAW,WiFi Status   : Connected
2026-05-28T16:27:22,RAW,ESP32 IP      : 172.20.10.14
2026-05-28T16:27:22,RAW,RSSI          : -71 dBm
2026-05-28T16:27:22,RAW,UDP Count     : 68
2026-05-28T16:27:22,RAW,CSI Count     : 158
2026-05-28T16:27:22,RAW,"Last UDP      : PING,2,1779956841.333144"
2026-05-28T16:27:22,RAW,"Last ACK      : ACK,PING,2,1779956841.333144,RSSI=-71"
2026-05-28T16:27:22,RAW,Last UDP RSSI : -71 dBm
2026-05-28T16:27:22,RAW,====================================
2026-05-28T16:27:22,CSI,"CSI_DATA,159,960865,-66,6,256,0 0 -15 2 -10 0 -5 -1 1 -1 6 -2 10 -3 13 -4 16 -4 17 -4 18 -4 17 -3 16 -2 15 -2 12 -3 9 -2 5 -2 3 -1 0 -1 -3 -2 -5 -2 -8 -3 -9 -5 -10 -5 -10 -7 -10 -7 -8 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 4 -1 5 -4 7 -7 9 -10 10 -13 13 -14 15 -15 16 -16 17 -14 16 -13 15 -12 12 -10 9 -8 5 -6 1 -4 -4 -2 -9 -1 -13 2 -17 3 -20 4 -24 5 -25 6 -25 6 -25 6 -22 6"
2026-05-28T16:27:22,RAW,========== UDP DEBUG ==========
2026-05-28T16:27:22,RAW,Packet Size : 24
2026-05-28T16:27:22,RAW,Remote IP   : 172.20.10.5
2026-05-28T16:27:22,RAW,Remote Port : 57116
2026-05-28T16:27:22,RAW,"Last UDP    : PING,3,1779956842.466485"
2026-05-28T16:27:22,RAW,"ACK Message : ACK,PING,3,1779956842.466485,RSSI=-68"
2026-05-28T16:27:22,RAW,beginPacket : 1
2026-05-28T16:27:22,RAW,endPacket   : 1
2026-05-28T16:27:22,RAW,===============================
2026-05-28T16:27:23,RAW,========== CURRENT SUMMARY ==========
2026-05-28T16:27:23,RAW,WiFi Status   : Connected
2026-05-28T16:27:23,RAW,ESP32 IP      : 172.20.10.14
2026-05-28T16:27:23,RAW,RSSI          : -68 dBm
2026-05-28T16:27:23,RAW,UDP Count     : 69
2026-05-28T16:27:23,RAW,CSI Count     : 159
2026-05-28T16:27:23,RAW,"Last UDP      : PING,3,1779956842.466485"
2026-05-28T16:27:23,RAW,"Last ACK      : ACK,PING,3,1779956842.466485,RSSI=-68"
2026-05-28T16:27:23,RAW,Last UDP RSSI : -68 dBm
2026-05-28T16:27:23,RAW,====================================
2026-05-28T16:27:23,CSI,"CSI_DATA,160,961991,-70,6,256,0 0 -1 15 -2 15 -3 13 -5 14 -6 13 -7 12 -7 12 -8 13 -8 14 -9 14 -7 14 -6 15 -4 16 -2 15 0 15 0 14 2 11 3 9 3 6 2 3 0 0 -2 -4 -4 -5 -7 -7 -9 -9 -11 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -2 6 -3 8 -3 9 -3 9 -4 10 -3 9 -3 8 -3 8 -2 7 0 5 1 5 4 4 6 4 9 4 12 5 14 6 15 7 17 8 17 9 18 9 16 9 17 7 17 6 16 5 15 2 15"
2026-05-28T16:27:23,RAW,========== UDP DEBUG ==========
2026-05-28T16:27:23,RAW,Packet Size : 25
2026-05-28T16:27:23,RAW,Remote IP   : 172.20.10.5
2026-05-28T16:27:23,RAW,Remote Port : 57116
2026-05-28T16:27:23,RAW,"Last UDP    : PING,4,1779956843.5632188"
2026-05-28T16:27:23,RAW,"ACK Message : ACK,PING,4,1779956843.5632188,RSSI=-68"
2026-05-28T16:27:23,RAW,beginPacket : 1
2026-05-28T16:27:23,RAW,endPacket   : 1
2026-05-28T16:27:23,RAW,===============================
2026-05-28T16:27:24,RAW,========== CURRENT SUMMARY ==========
2026-05-28T16:27:24,RAW,WiFi Status   : Connected
2026-05-28T16:27:24,RAW,ESP32 IP      : 172.20.10.14
2026-05-28T16:27:24,RAW,RSSI          : -68 dBm
2026-05-28T16:27:24,RAW,UDP Count     : 70
2026-05-28T16:27:24,RAW,CSI Count     : 160
2026-05-28T16:27:24,RAW,"Last UDP      : PING,4,1779956843.5632188"
2026-05-28T16:27:24,RAW,"Last ACK      : ACK,PING,4,1779956843.5632188,RSSI=-68"
2026-05-28T16:27:24,RAW,Last UDP RSSI : -68 dBm
2026-05-28T16:27:24,RAW,====================================
2026-05-28T16:27:24,CSI,"CSI_DATA,161,963116,-68,6,256,0 0 -16 -3 -18 -3 -19 -4 -21 -5 -20 -5 -19 -5 -16 -5 -14 -4 -11 -4 -8 -3 -3 -3 -1 -2 2 -2 5 -1 7 -1 9 0 10 1 11 2 11 3 10 4 10 4 8 5 6 5 4 5 3 5 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 -2 -17 -2 -16 -4 -15 -3 -14 -2 -11 -2 -8 0 -5 1 -3 3 1 5 4 6 7 9 10 10 13 10 15 11 15 11 17 11 17 10 17 9 16 8 13 6 10 5 6 3 1 1 -2 0 -7 -1"
2026-05-28T16:27:24,RAW,========== UDP DEBUG ==========
2026-05-28T16:27:24,RAW,Packet Size : 24
2026-05-28T16:27:24,RAW,Remote IP   : 172.20.10.5
2026-05-28T16:27:24,RAW,Remote Port : 57116
2026-05-28T16:27:24,RAW,"Last UDP    : PING,5,1779956844.692183"
2026-05-28T16:27:24,RAW,"ACK Message : ACK,PING,5,1779956844.692183,RSSI=-69"
2026-05-28T16:27:24,RAW,beginPacket : 1
2026-05-28T16:27:24,RAW,endPacket   : 1
2026-05-28T16:27:24,RAW,===============================
2026-05-28T16:27:25,RAW,========== CURRENT SUMMARY ==========
2026-05-28T16:27:25,RAW,WiFi Status   : Connected
2026-05-28T16:27:25,RAW,ESP32 IP      : 172.20.10.14
2026-05-28T16:27:25,RAW,RSSI          : -69 dBm
2026-05-28T16:27:25,RAW,UDP Count     : 71
2026-05-28T16:27:25,RAW,CSI Count     : 161
2026-05-28T16:27:25,RAW,"Last UDP      : PING,5,1779956844.692183"
2026-05-28T16:27:25,RAW,"Last ACK      : ACK,PING,5,1779956844.692183,RSSI=-69"
